0: 72.069833ms
1: 67.679208ms
2: 71.821875ms
3: 68.021375ms
4: 68.01125ms
5: 68.182209ms
6: 71.906375ms
7: 67.976833ms
8: 71.739959ms
9: 71.665667ms
10: 68.029166ms
11: 68.074417ms
12: 67.587166ms
13: 68.102125ms
14: 71.991291ms
15: 123.659625ms
16: 75.695167ms
17: 87.57525ms
18: 96.216291ms
19: 99.408417ms
20: 107.069416ms
21: 132.811167ms
22: 168.446208ms
23: 425.523791ms
24: 682.913667ms
25: 1013.516583
26: 2014.335959s
