0: 28.434042ms
1: 26.839333ms
2: 25.973042ms
3: 26.137708ms
4: 23.725416ms
5: 24.974125ms
6: 23.927208ms
7: 26.835ms
8: 24.824541ms
9: 24.253792ms
10: 26.88ms
11: 23.85375ms
12: 24.978333ms
13: 26.89725ms
14: 24.16125ms
15: 24.864458ms
16: 23.491334ms
17: 27.034167ms
18: 24.772333ms
19: 26.432875ms
20: 28.178583ms
21: 27.489625ms
22: 31.459375ms
23: 40.24975ms
24: 37.565292ms
25: 44.687584ms
26: 60.634042ms
