0: 36.17775ms
1: 31.030541ms
2: 27.732292ms
3: 28.365958ms
4: 28.557083ms
5: 31.415667ms
6: 43.666167ms
7: 28.474ms
8: 32.761333ms
9: 42.264584ms
10: 27.984208ms
11: 39.881292ms
12: 44.474791ms
13: 33.177542ms
14: 42.989ms
15: 34.982375ms
16: 36.766875ms
17: 39.448792ms
18: 35.455833ms
19: 43.690375ms
20: 31.315375ms
21: 39.053791ms
22: 50.117875ms
23: 34.788084ms
24: 46.536875ms
25: 51.222ms
26: 73.02025ms
